reviewText,sentiment
poor packing slow delivwry   pecs arrive in damage  chat responve is    not good seller ,Negative
yesto  rd class purai glue tasseko xa  kherai gayo  worst experience   ,Negative
nice serving and helping with best delivery,Positive
good,Positive
   fast delivery in the same day     resonabme price     high quality product     exat size and quantity,Neutral
   fast delivery in the same day     resonabme price     high quality product     exat size and quantity,Neutral
k khalko ho sabai aafai aafai tassera baseko xa    pkt ma     ota ta khera nai gayo  worst experience ever   ,Negative
      magayesi      nai pathauna sakinnah ho     tme haru le chai j saman pathayene hune hamlai chai fine lagne  ,Positive
k taal ko quality ho daraz ko chai  seller lai fine lagaune commission increase garne  aafno quality chai maintain garnu pardaina   ,Positive
bekar quality x plastic ko   aani fatako nai kati niskyo        ,Neutral
instant delivery and delivery person is so kind   ,Positive
nice flyers but their quality should be change ,Positive
good and understanding driver ,Positive
it s great timing  ,Positive
as shown   good   ,Positive
slow delivery  ,Neutral
good quality  ,Positive
nic product   ,Neutral
execellent   ,Neutral
great  ,Positive
ok ,Positive
good  ,Positive
good ,Positive
good  ,Positive
abcd ,Neutral
awesome ,Positive
good ,Positive
nice  ,Positive
packaging material rate badi vayo ,Neutral
ekdam ramro lagyo   ,Neutral
they sent us damaged packing material  had ordered            pieces of these in which none of these have glue in these circled areas  we are now forced to use external tape to seal our orders  what a waste of time and money  will never buy from here again  daraz should boycott such scammers ,Negative
good quality  ,Positive
good  ,Positive
good ,Positive
nice quality ,Positive
nice quality ,Positive
nice,Positive
good delivery service ,Positive
reasonable ,Neutral
thikai chha but sometimes    ko satta    ayera chai hairan vaincha  check garirakhnu parchha,Neutral
got in the time  all flyers are in good condition   the quantity and qulaity is perfect ,Positive
expensive   flyers cost     rupees,Neutral
good ,Positive
not a single defected piece  good   review wrapup,Positive
not a single defected piece  good   review wrapup,Positive
not a single defected piece  good   review wrapup,Positive
not a single defected piece  good   review wrapup,Positive
good,Positive
nice but i think it is little bit overpriced ,Positive
good,Positive
excellent     ,Positive
good,Positive
same as shown and great service  ,Positive
thikai xa    review wrapup ,Neutral
good   review wrapup,Positive
good   review wrapup,Positive
must maintain the product quality ,Neutral
very fast delivery    thank you so much ,Positive
very good  quality  fast delivery  reasonable price,Positive
very fast shipping  good quality and resonable price ,Positive
very fast shipping  good quality and resonable price ,Positive
good,Positive
express delivery thanks a lot   ,Positive
    pcs and every single piece is damaged ,Negative
good ,Positive
ekdamai low quality ko pathayeko cha   haina daraz kina chup lagera basiraheko cha yesto low quality ko saman pathaune seller lai kina action lidaina    please daraz paisa tirepachi ramro saman pathuna vannu  ,Negative
it is request to all the sellers to carefully check your packaging material after you receive them  ordered   x   but sent me   x   instead  ,Positive
lower quality of materials and also received   pcs less  please refund remaining amount or send   missing pcs ,Negative
too expensive in every aspect for seller  packing material becomes double expensive  commission are high for sellers  disappointed not happy working with daraz     ,Negative
low quality customer is complaining to us about our packaging please change the material taking high rate and giving low quality is it fair ,Positive
twpai haru ko price magago vayo   packing mahago vayepaxi saman ko ni vau badaunu paryo ani kasai garne byapar chai hajur ,Neutral
they send me less than i order ,Neutral
thanks   ,Positive
good job,Positive
good job,Positive
